no,disclosure_date,security_code,security_name,kind,market_segment
1,202112211500,98420,アークランドサカモト株式会社,四半期,プライム（内国株式）
2,202112241530,79650,象印マホービン,通期,プライム（内国株式）
3,202112241530,76300,株式会社 壱番屋,四半期,プライム（内国株式）
4,202112241530,31740,株式会社ハピネス・アンド・ディ,四半期,スタンダード（内国株式）
5,202112241600,62790,株式会社 瑞光,四半期,スタンダード（内国株式）
6,202112271550,29250,株式会社 ピックルスコーポレーション,四半期,プライム（内国株式）
7,202112281500,79210,株式会社TAKARA & COMPANY,四半期,プライム（内国株式）
8,202112281500,60830,ＥＲＩホールディングス,四半期,スタンダード（内国株式）
9,202112281500,48250,株式会社 ウェザーニューズ,四半期,プライム（内国株式）
10,202112281500,30860,Ｊ．フロント　リテイリング株式会社,四半期,プライム（内国株式）
11,202112281530,76490,スギホールディングス株式会社,四半期,プライム（内国株式）
12,202112281530,81680,株式会社 ケーヨー,四半期,プライム（内国株式）
13,202112281530,21860,ソーバル,四半期,スタンダード（内国株式）
14,202112281530,30500,ＤＣＭホールディングス株式会社,四半期,プライム（内国株式）
15,202112281600,29050,オーケー食品工業株式会社,四半期,スタンダード（内国株式）
16,202112291500,76110,ハイデ日高,四半期,プライム（内国株式）
17,202112301600,70340,株式会社プロレド・パートナーズ,通期,プライム（内国株式）
18,202201051500,13760,カネコ種苗株式会社,四半期,スタンダード（内国株式）
19,202201051500,65520,Ｍ－ＧａｍｅＷｉｔｈ,四半期,スタンダード（内国株式）
20,202201071500,27470,北雄ラッキー株式会社,四半期,スタンダード（内国株式）
21,202201071500,99930,ヤマザワ,四半期,スタンダード（内国株式）
22,202201071500,36070,（株）クラウディアホールディングス,四半期,スタンダード（内国株式）
23,202201111500,75130,株式会社コジマ,四半期,プライム（内国株式）
24,202201111500,75200,株式会社 エコス,四半期,プライム（内国株式）
25,202201111530,64960,株式会社 中北製作所,四半期,スタンダード（内国株式）
26,202201111530,33530,株式会社 メディカル一光グループ,四半期,スタンダード（内国株式）
27,202201111530,82470,大和,四半期,スタンダード（内国株式）
28,202201111530,41730,株式会社ＷＡＣＵＬ,四半期,グロース（内国株式）
29,202201121500,75120,イオン北海道株式会社,四半期,スタンダード（内国株式）
30,202201121500,61420,富士精工株式会社,四半期,#N/A
31,202201121500,77130,シグマ光機株式会社,四半期,スタンダード（内国株式）
32,202201121500,41990,Ｍ－ワンプラ,四半期,グロース（内国株式）
33,202201121500,27910,大黒天物産株式会社,四半期,プライム（内国株式）
34,202201121500,21640,株式会社 地域新聞社,四半期,グロース（内国株式）
35,202201121500,78110,中本パックス,四半期,プライム（内国株式）
36,202201121600,97780,株式会社　昴,四半期,スタンダード（内国株式）
37,202201121700,49200,株式会社 日本色材工業研究所,四半期,スタンダード（内国株式）
38,202201121700,77250,株式会社インターアクション,四半期,プライム（内国株式）
39,202201131500,23410,株式会社 アルバイトタイムス,四半期,スタンダード（内国株式）
40,202201131500,72270,アスカ株式会社,通期,#N/A
41,202201131500,66680,株式会社アドテック　プラズマ　テクノロジー,四半期,スタンダード（内国株式）
42,202201131500,13770,株式会社 サカタのタネ,四半期,プライム（内国株式）
43,202201131500,65670,株式会社ＳＥＲＩＯホールディングス,四半期,グロース（内国株式）
44,202201131500,30480,株式会社 ビックカメラ,四半期,プライム（内国株式）
45,202201131500,80950,アステナホールディングス株式会社,通期,プライム（内国株式）
46,202201131500,64320,株式会社　竹内製作所,四半期,プライム（内国株式）
47,202201131500,33820,株式会社 セブン＆アイ・ホールディングス,四半期,プライム（内国株式）
48,202201131500,23370,いちご株式会社,四半期,プライム（内国株式）
49,202201131500,89180,株式会社 ランド,四半期,スタンダード（内国株式）
50,202201131501,99830,株式会社 ファーストリテイリング,四半期,プライム（内国株式）
51,202201131505,62550,株式会社 エヌ・ピー・シー,四半期,グロース（内国株式）
52,202201131510,61590,ミクロン精密株式会社,四半期,スタンダード（内国株式）
53,202201131510,74340,株式会社 オータケ,四半期,スタンダード（内国株式）
54,202201131530,89040,株式会社AVANTIA,四半期,プライム（内国株式）
55,202201131530,29750,スター・マイカＨＤ,通期,プライム（内国株式）
56,202201131530,44390,東名,四半期,プライム（内国株式）
57,202201131530,65780,エヌリンクス,四半期,スタンダード（内国株式）
58,202201131540,88870,リベレステ　株式会社,四半期,スタンダード（内国株式）
59,202201141130,30940,株式会社 スーパーバリュー,四半期,スタンダード（内国株式）
60,202201141330,35360,アクサスホールディングス株式会社,四半期,スタンダード（内国株式）
61,202201141500,65320,株式会社ベイカレント・コンサルティング,その他,プライム（内国株式）
62,202201141500,65430,Ｊ－日宣,四半期,スタンダード（内国株式）
63,202201141500,35580,株式会社ロコンド,四半期,グロース（内国株式）
64,202201141500,82030,株式会社 ミスターマックス・ホールディングス,四半期,プライム（内国株式）
65,202201141500,64920,岡野バルブ製造株式会社,通期,スタンダード（内国株式）
66,202201141500,23790,ディップ株式会社,四半期,プライム（内国株式）
67,202201141500,21780,Ｍ－トライＳＴＧ,四半期,グロース（内国株式）
68,202201141500,24270,株式会社アウトソーシング,四半期,プライム（内国株式）
69,202201141500,75990,株式会社IDOM,四半期,プライム（内国株式）
70,202201141500,92520,Ｍ－ラストワンマイル,通期,グロース（内国株式）
71,202201141500,41760,株式会社ココナラ,四半期,グロース（内国株式）
72,202201141500,74200,佐鳥電機株式会社,四半期,プライム（内国株式）
73,202201141510,27690,株式会社 ヴィレッジヴァンガードコーポレーション,四半期,スタンダード（内国株式）
74,202201141530,75150,株式会社 マルヨシセンター,四半期,スタンダード（内国株式）
75,202201141530,31770,株式会社ありがとうサービス,四半期,スタンダード（内国株式）
76,202201141530,29300,株式会社北の達人コーポレーション,四半期,プライム（内国株式）
77,202201141530,39770,フュージョン株式会社,四半期,#N/A
78,202201141530,27350,株式会社 ワッツ,四半期,プライム（内国株式）
79,202201141530,92500,Ｍ－ＧＲＣＳ,通期,グロース（内国株式）
80,202201141530,24930,イーサポートリンク株式会社,通期,スタンダード（内国株式）
81,202201141600,44340,株式会社サーバーワークス,四半期,プライム（内国株式）
82,202201141600,44290,Ｍ－リックソフト,四半期,グロース（内国株式）
83,202201141600,48850,Ｊ－室町ケミカル,四半期,スタンダード（内国株式）
84,202201141600,48290,日本エンタープライズ株式会社,四半期,スタンダード（内国株式）
85,202201191600,53410,アサヒ衛陶株式会社,通期,スタンダード（内国株式）
86,202201211500,24110,ゲンダイエージェンシー,四半期,スタンダード（内国株式）
87,202201211500,49290,株式会社アジュバンコスメジャパン,四半期,プライム（内国株式）
88,202201241300,76460,株式会社ＰＬＡＮＴ,四半期,スタンダード（内国株式）
89,202201241500,96290,ピー・シー・エー株式会社,四半期,プライム（内国株式）
90,202201241500,96630,株式会社 ナガワ,四半期,プライム（内国株式）
91,202201251100,45560,株式会社カイノス,四半期,スタンダード（内国株式）
92,202201251500,56090,日本鋳造株式会社,四半期,スタンダード（内国株式）
93,202201251500,97330,株式会社 ナガセ,四半期,スタンダード（内国株式）
94,202201251500,46840,株式会社 オービック,四半期,プライム（内国株式）
95,202201251500,82180,コメリ,四半期,プライム（内国株式）
96,202201251500,68660,日置電機株式会社,通期,プライム（内国株式）
97,202201251530,44980,Ｍ－サイバートラスト,四半期,グロース（内国株式）
98,202201251600,61460,株式会社 ディスコ,四半期,プライム（内国株式）
99,202201251630,52790,日本興業株式会社,四半期,スタンダード（内国株式）
100,202201261200,85950,株式会社 ジャフコ,四半期,プライム（内国株式）
101,202201261400,47620,株式会社 エックスネット,四半期,スタンダード（内国株式）
102,202201261500,38500,株式会社 エヌ・ティ・ティ・データ・イントラマート,四半期,スタンダード（内国株式）
103,202201261500,79950,株式会社バルカー,四半期,プライム（内国株式）
104,202201261600,69880,日東電工株式会社,四半期,プライム（内国株式）
105,202201271125,87060,極東証券株式会社,四半期,プライム（内国株式）
106,202201271200,86970,株式会社 日本取引所グループ,四半期,プライム（内国株式）
107,202201271400,98180,大丸エナウィン株式会社,四半期,スタンダード（内国株式）
108,202201271500,51040,日東化工株式会社,四半期,スタンダード（内国株式）
109,202201271500,59060,エムケー精工株式会社,四半期,スタンダード（内国株式）
110,202201271500,79190,野崎印刷紙業株式会社,四半期,スタンダード（内国株式）
111,202201271500,63490,株式会社 小森コーポレーション,四半期,プライム（内国株式）
112,202201271500,37930,株式会社 ドリコム,四半期,グロース（内国株式）
113,202201271500,47260,ソフトバンク・テクノロジー株式会社,四半期,プライム（内国株式）
114,202201271500,88920,株式会社 日本エスコン,通期,プライム（内国株式）
115,202201271500,79310,未来工業株式会社,四半期,プライム（内国株式）
116,202201271500,43070,株式会社野村総合研究所,四半期,プライム（内国株式）
117,202201271530,88640,空港施設株式会社,四半期,プライム（内国株式）
118,202201271530,42060,アイカ工,四半期,プライム（内国株式）
119,202201271530,61110,旭精機工業株式会社,四半期,#N/A
120,202201271530,17230,日本電技株式会社,四半期,スタンダード（内国株式）
